Period,TC($/MWh),MDSC($/MWh),RSU($/MWh)
00:00-00:30,41.2,3.8,1.2
00:30-01:00,41.2,3.8,1.2
01:00-01:30,41.2,3.8,1.2
01:30-02:00,41.2,3.8,1.2
02:00-02:30,41.2,3.8,1.2
02:30-03:00,41.2,3.8,1.2
03:00-03:30,41.2,3.8,1.2
03:30-04:00,41.2,3.8,1.2
04:00-04:30,41.2,3.8,1.2
04:30-05:00,41.2,3.8,1.2
05:00-05:30,41.2,3.8,1.2
05:30-06:00,41.2,3.8,1.2
06:00-06:30,41.2,3.8,1.2
06:30-07:00,41.2,3.8,1.2
07:00-07:30,54.4,3.8,1.2
07:30-08:00,54.4,3.8,1.2
08:00-08:30,54.4,3.8,1.2
08:30-09:00,54.4,3.8,1.2
09:00-09:30,54.4,3.8,1.2
09:30-10:00,54.4,3.8,1.2
10:00-10:30,54.4,3.8,1.2
10:30-11:00,54.4,3.8,1.2
11:00-11:30,54.4,3.8,1.2
11:30-12:00,54.4,3.8,1.2
12:00-12:30,54.4,3.8,1.2
12:30-13:00,54.4,3.8,1.2
13:00-13:30,54.4,3.8,1.2
13:30-14:00,54.4,3.8,1.2
14:00-14:30,54.4,3.8,1.2
14:30-15:00,54.4,3.8,1.2
15:00-15:30,54.4,3.8,1.2
15:30-16:00,54.4,3.8,1.2
16:00-16:30,54.4,3.8,1.2
16:30-17:00,54.4,3.8,1.2
17:00-17:30,54.4,3.8,1.2
17:30-18:00,54.4,3.8,1.2
18:00-18:30,54.4,3.8,1.2
18:30-19:00,54.4,3.8,1.2
19:00-19:30,54.4,3.8,1.2
19:30-20:00,54.4,3.8,1.2
20:00-20:30,54.4,3.8,1.2
20:30-21:00,54.4,3.8,1.2
21:00-21:30,54.4,3.8,1.2
21:30-22:00,54.4,3.8,1.2
22:00-22:30,54.4,3.8,1.2
22:30-23:00,54.4,3.8,1.2
23:00-23:30,41.2,3.8,1.2
23:30-00:00,41.2,3.8,1.2
