Period,Transmission Charges ($/kWh),Market Development and Systems Charge ($/kWh),Retail Settlement Uplift ($/kWh)
00:00-00:30,0.0412,0.0038,0.0012
00:30-01:00,0.0412,0.0038,0.0012
01:00-01:30,0.0412,0.0038,0.0012
01:30-02:00,0.0412,0.0038,0.0012
02:00-02:30,0.0412,0.0038,0.0012
02:30-03:00,0.0412,0.0038,0.0012
03:00-03:30,0.0412,0.0038,0.0012
03:30-04:00,0.0412,0.0038,0.0012
04:00-04:30,0.0412,0.0038,0.0012
04:30-05:00,0.0412,0.0038,0.0012
05:00-05:30,0.0412,0.0038,0.0012
05:30-06:00,0.0412,0.0038,0.0012
06:00-06:30,0.0412,0.0038,0.0012
06:30-07:00,0.0412,0.0038,0.0012
07:00-07:30,0.0544,0.0038,0.0012
07:30-08:00,0.0544,0.0038,0.0012
08:00-08:30,0.0544,0.0038,0.0012
08:30-09:00,0.0544,0.0038,0.0012
09:00-09:30,0.0544,0.0038,0.0012
09:30-10:00,0.0544,0.0038,0.0012
10:00-10:30,0.0544,0.0038,0.0012
10:30-11:00,0.0544,0.0038,0.0012
11:00-11:30,0.0544,0.0038,0.0012
11:30-12:00,0.0544,0.0038,0.0012
12:00-12:30,0.0544,0.0038,0.0012
12:30-13:00,0.0544,0.0038,0.0012
13:00-13:30,0.0544,0.0038,0.0012
13:30-14:00,0.0544,0.0038,0.0012
14:00-14:30,0.0544,0.0038,0.0012
14:30-15:00,0.0544,0.0038,0.0012
15:00-15:30,0.0544,0.0038,0.0012
15:30-16:00,0.0544,0.0038,0.0012
16:00-16:30,0.0544,0.0038,0.0012
16:30-17:00,0.0544,0.0038,0.0012
17:00-17:30,0.0544,0.0038,0.0012
17:30-18:00,0.0544,0.0038,0.0012
18:00-18:30,0.0544,0.0038,0.0012
18:30-19:00,0.0544,0.0038,0.0012
19:00-19:30,0.0544,0.0038,0.0012
19:30-20:00,0.0544,0.0038,0.0012
20:00-20:30,0.0544,0.0038,0.0012
20:30-21:00,0.0544,0.0038,0.0012
21:00-21:30,0.0544,0.0038,0.0012
21:30-22:00,0.0544,0.0038,0.0012
22:00-22:30,0.0544,0.0038,0.0012
22:30-23:00,0.0544,0.0038,0.0012
23:00-23:30,0.0412,0.0038,0.0012
23:30-00:00,0.0412,0.0038,0.0012
